utility,type,period,basic_charge_limit (imperial),basic_charge_limit (metric),month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge (imperial),charge (metric),units,Notes
electric,customer,,,,,,,,,,4200,4200,$/month,Eversource - Rate 58 (2021 rates)
electric,energy,,0,0,5,9,0,12,0,4,0.05966,0.00622,$/kWh,Delivery and generation charges included
electric,energy,,0,0,5,9,12,20,0,4,0.10509,0.02908,$/kWh,"Ignored daylight savings, when the peak time shifts by an hour"
electric,energy,,0,0,5,9,20,24,0,4,0.05966,0.00622,$/kWh,
electric,energy,,0,0,5,9,0,24,5,6,0.05966,0.00622,$/kWh,
electric,energy,,0,0,1,4,0,12,0,4,0.05734,0.00622,$/kWh,
electric,energy,,0,0,1,4,12,20,0,4,0.09308,0.02908,$/kWh,
electric,energy,,0,0,1,4,20,24,0,4,0.05734,0.00622,$/kWh,
electric,energy,,0,0,1,4,0,24,5,6,0.05734,0.00622,$/kWh,
electric,energy,,0,0,7,12,0,12,0,4,0.05734,0.00622,$/kWh,
electric,energy,,0,0,7,12,12,20,0,4,0.09308,0.02908,$/kWh,
electric,energy,,0,0,7,12,20,24,0,4,0.05734,0.00622,$/kWh,
electric,energy,,0,0,7,12,0,24,5,6,0.05734,0.00622,$/kWh,
electric,demand,annual,0,0,1,12,0,24,0,6,18.07,18.07,$/kW,"Sum of distribution, transmission, improvements, and competetive assessment demand charges"